id,x_tol_m,x_dot_tol_mps,theta_tol_rad,theta_dot_tol_rps,q_theta_over_x,q_theta_dot_over_x_dot,r_scale,q,r,survival_s,max_cart_m,max_theta_deg,avg_abs_u,score,success
57,0.5,1.0,0.25,1.0,4.0,1.0,0.7,"[4.0, 1.0, 16.0, 1.0]",0.06999999999999999,400.0,1.7510712146759033,39.1391716003418,24.481929779052734,397.6072082519531,True
58,0.5,1.0,0.25,1.0,4.0,1.0,0.9,"[4.0, 1.0, 16.0, 1.0]",0.09000000000000001,400.0,1.892384648323059,41.82910919189453,24.675609588623047,397.4769592285156,True
59,0.5,1.0,0.25,1.0,4.0,1.0,1.1,"[4.0, 1.0, 16.0, 1.0]",0.11000000000000001,400.0,2.011991262435913,43.77982711791992,24.899444580078125,397.3714294433594,True
60,0.5,1.0,0.25,1.0,4.0,1.0,1.3,"[4.0, 1.0, 16.0, 1.0]",0.13,115.12999725341797,2.116729259490967,45.32412338256836,25.082258224487305,112.41268920898438,False
61,0.5,1.0,0.25,1.0,4.0,1.0,1.5,"[4.0, 1.0, 16.0, 1.0]",0.15000000000000002,67.72000122070312,2.2112386226654053,46.699851989746094,25.232521057128906,64.92340850830078,False
62,0.5,1.0,0.25,1.0,4.0,1.0,1.8,"[4.0, 1.0, 16.0, 1.0]",0.18000000000000002,9.300000190734863,2.3284289836883545,48.5534782409668,25.410425186157227,6.402403831481934,False
63,0.5,1.0,0.25,1.4,4.0,0.5102040816326532,0.5,"[4.0, 1.0, 16.0, 0.5102040816326532]",0.05,400.0,1.5919721126556396,36.14870834350586,24.814973831176758,397.7366027832031,True
64,0.5,1.0,0.25,1.4,4.0,0.5102040816326532,0.7,"[4.0, 1.0, 16.0, 0.5102040816326532]",0.06999999999999999,400.0,1.7769513130187988,39.72441482543945,24.612825393676758,397.5786437988281,True
65,0.5,1.0,0.25,1.4,4.0,0.5102040816326532,0.9,"[4.0, 1.0, 16.0, 0.5102040816326532]",0.09000000000000001,400.0,1.914080262184143,42.40732192993164,24.747621536254883,397.452392578125,True
66,0.5,1.0,0.25,1.4,4.0,0.5102040816326532,1.1,"[4.0, 1.0, 16.0, 0.5102040816326532]",0.11000000000000001,400.0,2.034132957458496,44.34308624267578,24.97055435180664,397.3469543457031,True
67,0.5,1.0,0.25,1.4,4.0,0.5102040816326532,1.3,"[4.0, 1.0, 16.0, 0.5102040816326532]",0.13,79.2300033569336,2.132598638534546,45.86713409423828,25.152263641357422,76.49179077148438,False
68,0.5,1.0,0.25,1.4,4.0,0.5102040816326532,1.5,"[4.0, 1.0, 16.0, 0.5102040816326532]",0.15000000000000002,45.189998626708984,2.2274811267852783,47.08091354370117,25.301509857177734,42.37559509277344,False
69,0.5,1.0,0.25,1.4,4.0,0.5102040816326532,1.8,"[4.0, 1.0, 16.0, 0.5102040816326532]",0.18000000000000002,9.289999961853027,2.3444929122924805,48.92357635498047,25.477123260498047,6.374968528747559,False
70,0.5,1.0,0.25,2.0,4.0,0.25,0.5,"[4.0, 1.0, 16.0, 0.25]",0.05,400.0,1.6055790185928345,36.51493453979492,24.90673065185547,397.7197265625,True
71,0.5,1.0,0.25,2.0,4.0,0.25,0.7,"[4.0, 1.0, 16.0, 0.25]",0.06999999999999999,400.0,1.7910454273223877,40.044193267822266,24.68621253967285,397.5630187988281,True
72,0.5,1.0,0.25,2.0,4.0,0.25,0.9,"[4.0, 1.0, 16.0, 0.25]",0.09000000000000001,400.0,1.9259366989135742,42.72257614135742,24.787158966064453,397.4389343261719,True
73,0.5,1.0,0.25,2.0,4.0,0.25,1.1,"[4.0, 1.0, 16.0, 0.25]",0.11000000000000001,400.0,2.046140193939209,44.64968490600586,25.00941276550293,397.3336486816406,True
74,0.5,1.0,0.25,2.0,4.0,0.25,1.3,"[4.0, 1.0, 16.0, 0.25]",0.13,79.22000122070312,2.1421167850494385,46.16221618652344,25.190326690673828,76.4699935913086,False
75,0.5,1.0,0.25,2.0,4.0,0.25,1.5,"[4.0, 1.0, 16.0, 0.25]",0.15000000000000002,45.18000030517578,2.236213445663452,47.32332992553711,25.33901023864746,42.355255126953125,False
76,0.5,1.0,0.25,2.0,4.0,0.25,1.8,"[4.0, 1.0, 16.0, 0.25]",0.18000000000000002,9.289999961853027,2.353132486343384,49.1227912902832,25.51328468322754,6.365579605102539,False
77,0.5,1.0,0.25,2.8,4.0,0.1275510204081633,0.5,"[4.0, 1.0, 16.0, 0.1275510204081633]",0.05,400.0,1.6120665073394775,36.690460205078125,24.951379776000977,397.7116394042969,True
78,0.5,1.0,0.25,2.8,4.0,0.1275510204081633,0.7,"[4.0, 1.0, 16.0, 0.1275510204081633]",0.06999999999999999,400.0,1.7977626323699951,40.19688415527344,24.721935272216797,397.5555114746094,True
79,0.5,1.0,0.25,2.8,4.0,0.1275510204081633,0.9,"[4.0, 1.0, 16.0, 0.1275510204081633]",0.09000000000000001,400.0,1.9316997528076172,42.872928619384766,24.8060245513916,397.4325256347656,True
80,0.5,1.0,0.25,2.8,4.0,0.1275510204081633,1.1,"[4.0, 1.0, 16.0, 0.1275510204081633]",0.11000000000000001,400.0,2.0518503189086914,44.7957878112793,25.027929306030273,397.32733154296875,True
81,0.5,1.0,0.25,2.8,4.0,0.1275510204081633,1.3,"[4.0, 1.0, 16.0, 0.1275510204081633]",0.13,79.22000122070312,2.1476972103118896,46.30270004272461,25.2085018157959,76.4638442993164,False
82,0.5,1.0,0.25,2.8,4.0,0.1275510204081633,1.5,"[4.0, 1.0, 16.0, 0.1275510204081633]",0.15000000000000002,45.18000030517578,2.2403464317321777,47.45856475830078,25.35686492919922,42.349945068359375,False
83,0.5,1.0,0.25,2.8,4.0,0.1275510204081633,1.8,"[4.0, 1.0, 16.0, 0.1275510204081633]",0.18000000000000002,9.289999961853027,2.357224464416504,49.217166900634766,25.530479431152344,6.361129283905029,False
84,0.5,1.0,0.3,0.5,2.7777777777777777,4.0,0.5,"[4.0, 1.0, 11.11111111111111, 4.0]",0.05,400.0,1.443299412727356,32.52556228637695,23.89442253112793,397.9110107421875,True
85,0.5,1.0,0.3,0.5,2.7777777777777777,4.0,0.7,"[4.0, 1.0, 11.11111111111111, 4.0]",0.06999999999999999,400.0,1.6368073225021362,36.19031524658203,24.03875160217285,397.73663330078125,True
86,0.5,1.0,0.3,0.5,2.7777777777777777,4.0,0.9,"[4.0, 1.0, 11.11111111111111, 4.0]",0.09000000000000001,400.0,1.7939586639404297,38.95450210571289,24.31254768371582,397.5945739746094,True
87,0.5,1.0,0.3,0.5,2.7777777777777777,4.0,1.1,"[4.0, 1.0, 11.11111111111111, 4.0]",0.11000000000000001,400.0,1.925365924835205,41.268917083740234,24.537506103515625,397.475830078125,True
88,0.5,1.0,0.3,0.5,2.7777777777777777,4.0,1.3,"[4.0, 1.0, 11.11111111111111, 4.0]",0.13,400.0,2.035662889480591,43.122161865234375,24.723865509033203,397.37799072265625,True
89,0.5,1.0,0.3,0.5,2.7777777777777777,4.0,1.5,"[4.0, 1.0, 11.11111111111111, 4.0]",0.15000000000000002,400.0,2.1286535263061523,44.70744323730469,24.8800106048584,397.2951354980469,True
90,0.5,1.0,0.3,0.5,2.7777777777777777,4.0,1.8,"[4.0, 1.0, 11.11111111111111, 4.0]",0.18000000000000002,67.70999908447266,2.2463698387145996,46.79016876220703,25.067171096801758,64.89899444580078,False
91,0.5,1.0,0.3,0.7,2.7777777777777777,2.0408163265306127,0.5,"[4.0, 1.0, 11.11111111111111, 2.0408163265306127]",0.05,400.0,1.529388189315796,34.523094177246094,24.350337982177734,397.8143615722656,True
